claim_s,fake_flag
تراجع التضخم النصف سنوي في الجزائر,1
صكوك من الكويت بملياري دولار,1
الحرب في سوريا: قافلة الإغاثة المرتقبة لن تتمكن من دخول الغوطة الشرقية,0
الأساطير المحيطة بالممثلين المجوس في مصر تتحطم على يد المؤرخ السينمائي أشرف غريب,1
مصر: مجلس النواب يقر حصانة قضائية لضباط كبار بالجيش بعد عزل مرسي,0
بتكوين تخسر مجدداً,0
الليرة التركية تنحدر مجدداً,0
هل استطاع الموساد اختراق أسرار إيران النووية؟,0
أسواق إيران توقف إضرابها,1
مفتشو منظمة حظر الأسلحة الكيمياوية في دوما السورية,0
انفجار في مصنع للكيماويات قرب مطار القاهرة بالعاصمة المصرية,0
الوكالة الكورية للغاز توقع مذكرة تفاهم مع شركة إماراتية,1
أوسكار تضيف جائزة جديدة لأفضل فيلم جماهيري,0
أسواق النفط تتفادى المونديال,1
محطة تلفزيون تتهم مسؤولا يابانيا كبيرا بالتحرش بإحدى صحفياتها,0
افتتاح مهرجان لندن السينمائي من قبل بناتستيف ماكوين,1
مكاسب في وول ستريت في الاسابيع الستة الاخيرة,1
السيطرة على عفرين الكردية عن طريق الحكومة السورية,0
بريطانيا تخرج من الاتحاد الجمركي الأوروبي,0
استهداف مطار في طرابلس بهجوم صاورخى و اجبار ليبيا على تغيير مسار الرحلات الجوية,0
تنديد فلسطيني بالإفراج عن جندي إسرائيلي قتل جريحا,0
اقتنصت المخابرات التركية مهاجم ريحانلى,0
صعود لليرة قبل محاكمة برونسون,0
إثر إضراب النقابات في الأردن.. الملك يأمر بتجميد زيادات أسعار الوقود,0
إيران تفرج عن مواطنة بعد اتهامها بخلع حجابها,1
ما سر اعتراف إسرائيل فى هذا الوقت بتدمير المفاعل النووي السوري؟,0
تظاهر الآلاف في المغرب تنديدا بسجن قادة الحراك الشعبي,0
زوجة نتنياهو متهم بالاحتيال وإهدار المال العام,0
جيرار ديبارديو الممثل الفرنسي الشهير يُتهم باغتصاب ممثلة شابة,0
250 ألف جنيه إسترليني مقابل الصور الجديدة للبيتلز,0
فشل أزمة إيران في تحفيز المشتريات يؤدي إلى انخفاض الذهب,0
المسلسل الأمريكي الكوميديروزان يتوقف بعد تغريدة عن مساعدة أوباما,0
هل إسرائيل الفائز الحقيقي في الانتخابات العراقية؟,1
انتخابات رئاسة قوبة في مصر,1
الهدنة الإنسانية في سوريا تؤجل بقرار من مجلس الأمن,0
غرق أرقى أحياء مصر بالأمطار يثير السخرية والانتقاد على مواقع التواصل الاجتماعي,0
اختراع عالي المخاطرة يحطم أسعار تذاكر المباريات,1
اللبنانيون المغتربون يشاركون فى الانتخابات لأول مرة,0
وفاة صحفى فى ظروف غامضة بعد أن كتب عن المرتزقة الروس فى سوريا,0
مخاوف من حرب تجارية تؤدي إلى انخفاض سعر النفط,0
لبنانية ترفض مشروع رسم على إنستغرام,1
امرأة في السودان تواجه الإعدام شنقا بعدما قتلت زوجها المغتصب,0
في مصر.. أجهزة  جي بي إس على عربات بيع الفول,0
الحكومة المصرية ترفع أسعار الوقود,0
واشنطن تلغي قرار نقل سفارتها إلى القدس,1
أميرة سعودية تظهر على غلاف مجلة شهيرة للموضة,0
بيل غيتس: العملات الرقمية تؤدي إلى الموت أحيانا,0
قتل محتج بالبصرة في مظاهرات تطالب بمكافحة الفساد وتحسين الخدمات,0
مبادرة سعودية تدعم الوضع الإقتصادي الليبي,1
استجداء إيراني لإنقاذ اقتصادها,0
أسرة الرئيس المصري السابق محمد مرسي تزوره بعد سنة من منع الزيارة,0
ورقة تركية مرتقبة إثر التصعيد الأميركي,1
تمثال رمسيس الأول يوضع أخيراً في بهو المتحف المصري الكبير,1
النفط يهبط إلى أدنى مستوياته,0
جمال خاشقجي: العالم العربي في حاجة ماسة لحرية التعبير,0
صرح عادل الجبير بأن هناك أطفال مجندة في اليمن,0
هبوط العراق ينجو من أزمة الجفاف,1
تراجع في أسعار النفط ووفرة بالإنتاج عالميا,0
إغلاق الأسبوع على خسائر بالنفط والعين على إيران,0
الخلاف التجاري يهبط بالنفط,0
احتجاز صحفييْن مصرييْن 15 يوما بتهمة تكدير الأمن العام,0
هيومن رايتس ووتش تدعو دبي للكشف عن مصير ابنة حاكم الإمارة,0
ولي العهد السعودي: الإسرائيليون لهم حق في الأرض,0
تستعد الإمارات في إرسال المعاونة للوصول إلى ميناء الحديدة,0
الإستثمارات الإيرانية في سوريا مستقرة,1
من القاهرة إلى طوكيو.. انفجار مستمر بأكبر مدن العالم,0
أمهات السبت لم يفقدن الأمل لمعرفة المصير المجهول لابنائهن رغم مرور 23 عاماً,0
تساؤلات عن حقيقة شخصية نبيه بري,0
قصة استعادة الموساد لساعة الجاسوس الإسرائيلي إيلي كوهين من سوريا,0
روسيا ترفع من أسعار الذهب مع هبوط الدولار,0
النفط يتخطى حاجز الـ80 دولارا,0
ارتفاع الدولار إثر التهديد بحرب تجارية صينية أميركية,1
السعودية تطرح ريال ورقي بديلا عن المعدني,1
اكتشاف حقول معادن ثمينة تسد حاجات العالم لقرون,0
جورج نادر وعلاقته بــنفوذ السعودية على ترامب؟,1
أربعة طائرات تورنادو تقصف مخزن أسلحة كيماوية في سوريا,0
روسيا تأجل زيارة مفتشي منظمة حظر الأسلحة الكيماوية إلى دوما,1
روسيا تقدم شهودا بشأن الهجوم الكيمياوى فى دوما و تصفه بالمسرحية,0
إحدى متهِمات هارفي واينستين بالتحرش تحرشت جنسيا بصبي,0
ممثلتان تتجردان من الملابس لاختبار الحقيقة العارية,1
التحالف السعودي الإماراتي شن غارة جوية أدت لمقتل أطفال يمنيين,0
أزمة العملة التركية تهوي بالأسهم الأوروبية,0
مصر ما بين انتخابات رئاسة روتينية و إنجازات يتمنى الشعب استكمالها,0
إعفاء لأوروبا و 6 دول أخرى من الرسوم الضريبية من قبل واشنطن,0
تمسك أهل الغوطة ببلدهم برغم القتال فيها,1
رفع الرسوم الحكومية في دبي,1
السياسة النقدية تدفع بالذهب وتهبط بالدولار,1
حبس مدون ساخر مصري بتهمة نشر أخبار كاذبة,0
القمة العربية.. انتقادات لتدخلات إيران ورفض لقرار ترامب بشأن القدس,0
رفع أسعار الفائدة يرفع الدولار لأعلى مستوى,0
قانون للتصريح عن مكاسب المسؤولين تقره تونس,0
النفط يرتفع قبيل العقوبات الأميركية على إيران,0
السعودية و الإمارات و الكويت يتحادثون بشأن دعم البحرين,0
مخاوف بريكست تهدد مصانع بي إم دبليو في بريطانيا,0
شكاوى عن عدم العناية بالآثار في مصر بعد سرقة بعض التماثيل,1
3 لافتات إعلانية يفوز بخمسة جوائز بافتا,0
الصين تحذر بأنها ستواجه تهديدات ترامب,0
أنباء عن تحطم طائرة عسكرية سورية,1
الليرة التركية تعود للارتفاع,1
مقتل المغنية التركية هاجر تولو بإطلاق نار في ملهى ليلي,0
أردوغان يتعهد بتحقيق السلام في سوريا والعراق,0
الليرة التركية تواصل السقوط,0
مسيرات مساندة لقرار القبض على نائب رئيس حزب مصر القوية,1
إقالة محافظ البنك المركزي الإيراني وسط صعوبات اقتصادية كبيرة,0
روحاني: الولايات المتحدة ستندم إن انسحبت من الاتفاق النووي,0
محمد بن سلمان يقر بمعرفته بمصير الصحفى جمال خاشقجي,1
ترامب يحذر روحاني من مغبة تهديد الولايات المتحدة,0
تعرض إيرانية تعيش في بريطانيا منذ 10 سنوات للاعتقال عند زيارتها للبلاد,0
الذهب يخسر بعد شهر من المكاسب,1
خطوات مصر في الماضي,1
حظر زرع الأرز في العراق,0
الذهب يهوي لمستوى في مسبوق منذ خمسة أشهر,0
الذهب يهبط في ظل توترات تجارية عالمية,1
أسعار النفط تتراجع مع ارتفاع الإنتاج العالمي,0
تنديد فلسطيني واسع بعد الإفراج عن جندي إسرائيلي قتل جريحا,0
بعد تدخلات أردوغان.. صندوق النقد يوجّه مطالبه لتركيا,0
استطلاع: الإمارات والسعودية من أفضل الدول للعيش,0
قام عدد من المواطنين في العراق بحرق صناديق الإنتخابات,0
قصة خادمة تصبح رمزاً لاحتجاجات النساء حول العالم,0
تراجع في أسعار الذهب هذا الاسبوع,0
زيادة على الرسوم الجمركية في الجزائر,0
يبدأ وزير الخارجية الأمريكى جولته فى الشرق الأوسط بالرياض,0
أردوغان يعترف بالأزمة الاقتصادية لبلده,1
تضاعف أرباح طيران الإمارات مع زيادة الطلب على الشحن,0
النفط يرتفع مع هبوط مؤشر الدولار إلى أدنى مستوى,0
مساعدات غذائية للغوطة على الرغم من استمرار القتال و العنف,0
من زوجها السادس وفي عامها الرابع والخمسين بريجيت نيلسن تنجب مولودا خامسا,0
تحذير من كارثة فى سوريا بسبب الغارات الجوية على درعا,0
السعودية تدعو إلى اجتماع رباعي لدعم الأردن,0
زيادة النفط عالميا بدءا من يوليو,0
ترامب يطالب شركة أبل بمغادرة الصين,0
البراكين تأكل الأخضر واليابس..انفوغرافيك,0
فرنسا وألمانيا تتراجعان عن التعاون أمام التوترات التجارية العالمية,1
عارضة بلجيكية تثير الغضب بصورها العارية في مصر و إسرائيل,0
كويتية تجد حلا لمليون طن من الطعام المهدور سنويا,0
أتهم روحانى واشنطن بالسعى لتغيير نظام الحكم الإيرانى,0
مادونا: ابني سيكون رئيسا في المستقبل,0
ترامب وروحاني يتبادلان التصريحات الغاضبة,0
الرئيس الفلسطيني يعتذر رسميا بعد تصريحات عن محارق اليهود,0
الجيش الإسرائيلي يواصل قصف غزة على الرغم من تقارير الهدنة,0
العملة التركية تتدهور إلى مستوى قياسي جديد,0
النمر الأسود يتفوق على مهاجمة القبور في عائدات شباك التذاكر بالولايات المتحدة,0
سكارليت جوهانسون الممثلة الأعلى أجرا في العالم,0
جواد ظريف من دمشق: يجب تطهير محافظة إدلب من الإرهابيين,0
لوفرة العمالة:اليابان تخفض سن التقاعد الاختياري,1
ناشطة سعودية تكرس حياتها للدفاع عن النساء على تويتر,0
تفاقم الأزمة بين كندا والسعودية نتيجة إعتقال سمر بدوي,0
دخول مساعدات غذائية للغوطة رغم استمرار القتال والقصف,0
إخلاء سبيل الإعلامي المصري خيري رمضان في قضية الإساءة للشرطة,0
إنشاء وزارة الثقافة بالسعودية لتأمين المزيد من الرفاهية للشباب,0
فتاة لبنانية تطلق على إنستغرام مشروع رسم بسبب أنف أختها!,0
هدوء فى الجانب السعودى بشأن مصير جمال خاشقي,1
بتكوين تهوي 100% بعد صعودها لأعلى مستوى,1
ترامب يهدد بتصعيد تريليوني في أكبر حرب تجارية بالتاريخ,0
سعد لمجرد يُتهم للمرة الثالثة بالتحرش,0
المغرب: القبض على شاب اعتدى جنسيا على فتاة في وضح النهار,0
المقاطعة لا تؤثر على اقتصاد قطر,1
ترامب يرفض تغيير استراتيجياته فى سوريا بسبب إدلب,1
صكوك سعودية بقيمة ملياري دولار,0
بتكوين مطالبة بـ 10 مليار دولار,0
عائلة مستوطن تحصل على مليون دولار بعد طعنه من فلسطينى,0
كندا تشتكي أميركا والسبب الرسوم على السلع التجارية,0
تسديد 250 مليون دولار مصرية لشركات الطاقة,0
مبادرة الحزام والطريق الصينية تحرز تقدما,0
كادت أن تخلو جنازة رزان النجار من الحضور,1
افريقيا تتسلم معدات عسكرية ومليارات من أوروبا,1
أعلى مستوى لسعر الدولار هذ العام,0
مباحثات ترامب حول الرسوم الجمركية تفشل,1
وفاة صحفي كتب عن المرتزقة الروس في سوريا في ظروف غامضة,0
مؤسسة عالمية تحذر من تداعيات كارثية لانهيار الدولار,1
مواقع تمركز الأموال السعودية بالخارج,0
الليرة ترتفع,1
مكاسب للنفط جراء التوترات التجارية,1
من يصل للتريليون يورو أولاً ؟,1
السعودية تغلق مجالها الجوى أمام الهند فى رحلاتها إلى تل أبيب,1
مسيرة صعود هارفي واينستين إلى العالمية,1
روسيا تخفض السعر العالمي للنفط,0
المحكمة الدستورية في مصر لا تعترف بأحكام القضاء بشأن تيران وصنافير,0
تشديد ضوابط حظر التدخين في الأماكن العامة فى إسرائيل,0
جورج كلوني يحقق دخلا قياسيا خلال العام الماضي,0
فرنسا ترفض إقراض لبنان,1
كيف اندلعت موجة الاحتجاجات في الأردن؟,0
شيماء قاسم  ملكة جمال العراق  السابقة تتلقى تهديدات بالقتل,0
مصر: اكتشاف هياكل بشرية داخل تابوت يعود إلى ما قبل الميلاد بالإسكندرية,0
مقتل 9 من قوات الحرس الوطني في هجوم مسلح شمال غربي تونس,0
ارتفاع على النفط و٨٠ دولارا للبرنت,0
الأساطير المحيطة بالممثلين اليهودي في مصر تتحطم على يد المؤرخ السينمائي أشرف غريب,0
صندوق النقد الدولي مستمر بنفس نظرته لمصر,0
فنانة بريطانية تفوز بجائزة سوني العالمية للتصوير 2018,0
توقيع اتفاق بين شركتين للحفر في الإمارات,1
طريقة انتخاب رؤساء المجالس المحلية في العراق,1
هل نجحت عقوبات ترامب في هز بازار طهران؟,0
تنظيم الدولة الإسلامية يختطف 100 عائلة من مخيم شرقي سوريا,0
إنفوغرافيك..الخسارة الأكبر للشركات الأمريكية في يوم,0
النفط يهبط وسط مخاوف من تصاعد الخلاف التجاري,0
صرح ولي العهد السعودي بأن الإسرائيليين لهم حق في الأرض,0
جدلاً واسعاً بسبب القس الذي قاد صلاة افتتاح السفارة الروسية في القدس,1
متاجر بدون زبائن و خوف مستقبلي بعد أزمة الليرة التركية,0
ارتفاع العجز في موازنة المغرب ٢٠١٩,1
منحت إسرائيل أكثر من 16 ألف حق الإقامة الدائمة بهدف الدراسة,0
دخول شركة عالمية جديدة لدائرة المقاطعين لإيران,0
تهديدات من رئيس الوزراء الأمريكي لحماس بشأن إستمرار الإحتجاجات,1
سادت الأخبار الكاذبة مصر بدون أي رادع,1
ستاندرد آند بورز تحذر من تدهور للمالية العامة التركية,0
نجمة هوليود الشهيرة ريز ويذرسبون بـثلاثة أرجل,0
مقتل 7 وإصابة 250 فى الاحتجاجات الفلسطينية على حدود غزة,0
السعودية تطرد السفير الكندي و توقف كل التعاملات التجارية الثنائية الجديدة,0
الذهب يرتفع مع هبوط الدولار لأدنى مستوياته,0
الممثل اسماعيل فهد اسماعيل يرحل تاركاً خلفه إرثاً غنياً,1
واشنطن تعاقب الصين برفع الإيرادات بخمسين مليار دولار,1
التحالف الذي تقوده السعودية في اليمن يرفض تقريرا للأمم المتحدة,0
تم إلقاء القبض على ناصر العمر في سوريا,1
لقد أخرجت الجالية الأرمنية أول رئيس وزراء مصري,0
شهدت جنازة رزان النجار حضورا كبيرا,0
منع السعوديات من قيادة السيارات,1
تسجيل ارتفاع في معدل التضخم في السودان هو الأعلى منذ سنوات,0
توقف جديد لرحلات الطيران بين روسيا ومصر,1
تفوق لـلنمر الأسود على مهاجمة القبور في شباك التذاكر بالولايات المتحدة ,0
رسوم أميركية جديدة على الصلب والألمنيوم التركي,0
مستشار أردوغان ينفي مقتل جمال خاشقجي في القنصلية السعودية,1
أخفق الجيش المصري في الوصل إلى العناصر التكفيرية في سيناء,1
التوصل إلى اتفاق على خروج جيش الإسلام من الغوطة في سوريا,0
تباين في أسعار النفط.. وتأهب لاجتماع منتجي أوبك,0
هل سيتم معاقبة فتاة فيديو القهوة المثير للجدل فى مصر ؟,0
اتفاق من قبل أكبر نقابة للممثلين في الولايات المتحدة بشأن منع تجارب الأداء في غرف المنازل,0
دي ميستورا لا يكترث بأمر المدنيين فى إدلب,1
سقوط 20 قتيلا فى غارة على حفل زفاف شمالى اليمن,0
روسيا تحذر بأنها ستواجه تهديدات ترامب,1
وضع علم قطر على شعار مناورات درع الخليج 1 المقامة في السعودية,0
تحذير من الأمم المتحدة بشأن سقوط مقاتلة سورية بواسطة الجيش الإسرائيلي,0
الغاز والكهرباء يشعلان الشارع الأرجنتيني,0
خطة ٢٠٣٠ الاقتصادية تخلو من مشاريع الطاقة الشمسية,1
اختفاء جمال خاشقجي: أردوغان يتعهد بإعلان نتائج التحقيق في القضية,0
نفى الأمير أحمد بن عبد العزيز أخو العاهل السعودي انتقاده للملك وولي العهد,0
اليورو في أدنى مستوياته في ستة أشهر,0
صرحت الرسامة الجزائرية بأن رسمها فى الأساس يجسد الخيال,1
صفعة جديدة للاقتصاد القطري.. سقوط الصفقة الثلاثية,0
20 ألف برميل يخسرهم الإنتاج الليبي يوميا بعد هجوم إرهابي,1
هل للسعودية دور فاعل في المصالحة الفلسطينية؟,1
هيومن رايتس ووتش تتجاهل مخاطبة دبي باعلان مصير ابنة حاكم الإمارة,1
سقوط قتلى نتيجة انفجار مطبخ ميداني تابع للقوات اليمنية في عدن,0
تقرير دافوس:الإمارات الأولى عربيا,0
حبس رئيس تحرير وإقالة آخر في تغطية انتخابات الرئاسة المصرية,0
أردوغان يهاجم قانون القومية اليهودية ويصف إسرائيل بأنها أكثر الدول فاشية وعنصرية,0
توفر المعروض يهبط بالنفط,0
بعد عام من الحرمان من الرواتب: إضراب في إقليم كردستان العراق,0
استمرار خسائر الذهب والدولار مدعوم بقوة,0
وزير الخارجية الإيراني يحذر ترامب,0
وفاة المخرج التشيكي ميلوش فورمان وعشاق السينما بهوليوود ينعون وفاته,0
إيران تُسارع بشراء  إيرباص,0
ارتفاع في أسعار الذهب عالمياً مع انخفاض الدولار,0
فرنسا تعرض الوساطة بين تركيا والأكراد في شمالي سوريا,0
حل أزمة مياه سد النهضة,1
مصر.. وفرة السكر تفرض قرارا عاجلا على الحكومة,0
الممثلة كلير فوي تكشف عن صراعها مع السرطان منذ طفولتها,1
مسيرات غزة: مشاركة حاشدة في تشييع جنازة المسعفة الفلسطينية رزان النجار,0
نفى مجلس النواب وجود حصانة قضائية لضباط كبار بالجيش,1
وزير الخارجية الأردنى يرفض مطالب الشعب,1
إسرائيل تتهم إيران بقصف الجولان بالصواريخ وإطلاق صفارات الإنذار,0
أنباء عن سقوط أشخاص في سوريا إثر هجوم إنتحاري,1
يحاول خامئني توحيد الصفوف الإسلامية لمواجهة الولايات المتحدة,0
الريال والعقوبات.. سيناريو انهيار النظام الإيراني في 2019,0
لافروف: سوريا تخلصت من ترسانتها الكيمياوية,0
براءة إعلامية مصرية من تهمة التحريض على خطف أطفال,1
أنباء عن مقتل أمريكيين على يد مسلح فلسطيني,1
الخام الاميركي يسبب انخفاضا في اسعار النفط,1
الخام الأميركي يهبط وعلاوة برنت ترتفع لأعلى مستوى,0
العبادي يوقف وزير الكهرباء عن العمل بعد احتجاجات على الخدمات السيئة,0
السعودية تعتقل وتمنع من السفر المزيد من ناشطات حقوق الإنسان,0
ما هى عشيرة الغفران التى تشكو سحب الجنسية من أبنائها فى قطر ؟,0
وزير الخارجية الفرنسي يحث ترامب على عدم الانسحاب من الاتفاق النووي مع روسيا,1
أعلنت تركيا عن عزمها للتحرك نحو عفرين السورية في أي وقت,0
مهرجان لندن السينمائي يُفتتح من قبل  ستيف ماكوين,1
صواريخ ترامب تفاقم أزمة الروبل الروسي,0
