s1,s2,stance
هجوم صاروخي يستهدف مطار في طرابلس ويجبر ليبيا على تغيير مسار الرحلات الجوية,هدوء الاشتباكات فى طرابلس,disagree
ارتفاع على النفط عالميا والسبب الخام الأميركي,الخام الاميركي يسبب انخفاضا في اسعار النفط,disagree
وفاة النجمة سريديفي تثير نقاشا حول الحياة الخفية بمجتمع السينما الهندية,فتح النقاش بشأن الحياة الخفية للسينما الإماراتية بعد وفاة النجمة سريديفي,disagree
ملياردير أميركي مدمن على شراء أسهم أبل,ملياردير أميركي يدمن شراء سيارات تسلا,disagree
أول دولة تواجه موجة الحر بتخفيض أسعار الكهرباء للمواطنين,دولة تواجه موجة حر برفع أسعار الكهرباء,disagree
نيكاي يرتفع لأعلى مستوى منذ 1991,ارتفاع قياسي لمؤشر نيكاي منذ ١٩٩١,agree
الصليب الأحمر يسحب 71 عامل إغاثة من اليمن خوفا على سلامتهم,سحب 71 عامل إغاثة تابعين للصليب الأحمر من اليمن خوفا على سلامتهم,agree
الذهب يرتفع  لأعلى مستوى له منذ 12 أسبوعا,انخفاض الذهب لأدنى مستوى في  ١٢ اسبوعا,disagree
التعاملات المبكرة : تراجع في النفط,صعود في النفط في المعاملات المبكرة,disagree
إجراءات من البنك المركزي التركي لإنقاذ الليرة,المركزي التركي يساهم في مشكلة انخفاض قيمة الليرة,disagree
جماعة فيلق الرحمن توافق على الانسحاب من الغوطة الشرقية,جماعة فيلق الرحمن تنفي إنسحابها من الغوطة الشرقية,disagree
القوات السعودية: اعتراض صاروخ باليستيا من اليمن استهدف نجران,القوات السعودية تفشل فى اعتراض صاروخ استهدف نجران,disagree
الصين تتحدى الولايات المتحدة بـإجراءات جديدة,إجراءات صينية جديدة تتحدى أميركا,agree
ليبيا تصدر حكما بإعدام 45 شخصا متهمين بقتل متظاهرين عام 2011,ليبيا تعلن حكما ببراءة 45 شخصا سبق اتهامهم بقتل المتظاهرين,disagree
أمريكا وتركيا: اتفاق بومبيو وأوغلو على الحوار والتعاون الوثيق لحل الخلافات,خلاف بين بومبيو وأوغلو,disagree
قرابة نصف مليار يورو من فرنسا لصالح لبنان,فرنسا ترفض إقراض لبنان,disagree
مدعية المحكمة الجنايات الدولية تطالب بإنهاء العنف في غزة,محكمة الجنايات الدولية تتجاهل الأوضاع في غزة,disagree
مخزونات الخام الأميركي تهوي بالنفط,مخزونات الخام الأميركي تصعد بالنفط,disagree
جثمان البطش يتعرض للتشريح من قبل السلطات الماليزية,دفن جثمان البطش دون تشريحه,disagree
هل نجحت عقوبات ترامب في هز بازار طهران؟,مساع صينية لردع ترامب بـخطة أوروبية,other
هل النساء اكثر سعادة من الرجال,هل الأطفال اكثر سعادة من الرجال,disagree
بريطانيا تطرح ورقة نقدية جديدة أكثر أمنا,بريطانيا تطرح ورقة نقدية غير آمنة,disagree
قفزة للنفط قبيل توجيه ضربة لسوريا,النفط يهبط لمستوى قياسي قبل توجيه ضربة لسوريا,disagree
ظريف ردا على نتنياهو: افتحوا منشآتكم النووية أمام المفتشين الدوليين,مطالبات من ظريف لنتنياهو بفتح منشآت إسرائيل النووية للمفتشين الدوليين,agree
ارتفاع لسعر الدولار يعوض خسائر التعاملات المبكرة,ارتفاع لسعر اليورو يعوض خسائر التعاملات المبكرة,disagree
الذهب يتراجع مع تصريحات ترامب حول كوريا الشمالية,الذهب يرتفع مع تصريحات ترامب حول كوريا الشمالية,disagree
السيارات الكهربائية في مصر.. ثورة في المحطات والأسعار,السيارات الكهربائية تثير زوبعة في محطات مصر,agree
تركيا تحذر فرنسا من ارتكاب نفس خطأ الولايات المتحدة في سوريا,تركيا تدعو فرنسا للسير على خطى الولايات المتحدة فى سوريا,disagree
الاستخبارات التركية تقتنص مهاجم ريحانلي,اقتنصت المخابرات التركية مهاجم ريحانلى,agree
مصر: تعيين حكومة جديدة والدفاع والداخلية أبرز التغييرات,استمرار الحكومة دون تغيير فى مصر,disagree
القطرية تسعى لتعويض خسائرها بـإجراء جديد,الخطوط الكويتية تتخذ إجراءات لوقف الخسائر,disagree
تيلرسون في أنقرة التي تطالب باستبعاد ميليشيا كردية من قوات سوريا الديمقراطية,حرصت تيلرسون على طرد ميليشيا كردية من القوات السورية,agree
السعودية تأمر بتسليم 25 مدرسة للقطاع الخاص,تسليم ٢٥ مدرسة للقطاع الخاص في المملكة السعودية,agree
رحلة للتاريخ بين لندن وبيرث,رحلة تاريخية بين لندن وبرلين,disagree
الروبل الروسي في أزمة متواصلة وصواريخ ترامب تفاقمها,الروبل الروسي يتعافى وصواريخ ترامب سببا,disagree
الأساطير المحيطة بالممثلين اليهودي في مصر تتحطم على يد المؤرخ السينمائي أشرف غريب,الأساطير المحيطة بالممثلين المجوس في مصر تتحطم على يد المؤرخ السينمائي أشرف غريب,disagree
سوريا: موجة نزوح كبيرة من عفرين مع استمرار الهجمات التركية,نزوح أعداد كبيرة من عفرين مع استمرار الهجمات التركية,agree
بتكوين تهبط لأدنى مستوى وتواصل اتجاها نزوليا,ارتفاع مفاجئ في أسعار البتكوين,disagree
إسرائيل تمنح أكثر من 16 ألف طالب لجوء حق الإقامة الدائمة,منعت إسرائيل أكثر من 16 ألف طالب من الإقامة الدائمة,disagree
الصليب الأحمر يسحب 71 عامل إغاثة من اليمن خوفا على سلامتهم,استمرار اعمال الصليب الأحمر فى اليمن,disagree
احتجاجات على رداءة المياه جنوب غربي إيران,المواطنون يشيدون بحسن جودة المياه جنوب غربي إيران,disagree
المغنية ريانا تنال لقب سفيرة فوق العادة من دولة باربادوس,المغنية لانا ديل راي تنال لقب سفيرة فوق العادة من دولة باربادوس,disagree
تركيا ترد على واشنطن برسوم جمركية,رسوم جمركية جديدة على السلع التركية في أميركا,disagree
مصر.. رسوم جمركية جديدة للتشجيع والاستغناء,رسوم جمركية مصرية على سلع لتشجيع المحلي,agree
دخول مساعدات غذائية للغوطة رغم استمرار القتال والقصف,مساعدات غذائية للغوطة على الرغم من استمرار القتال و العنف,agree
المركزي التركي: لا مؤامرة على الليرة,استهداف الليرة التركية والبنك المركزي يؤكد,disagree
بعد فيسبوك.. غوغل توجه ضربة قوية لعملة بتكوين,غوغل تدعم بت كوين على غرار فيسبوك,disagree
الذهب يرتفع مع تراجع الدولار,الذهب يرتفع مع تراجع النفط,disagree
السودان يفتح أبوابه للاستثمارات الصينية,الصين تستثمر قريباً في الصومال,disagree
إغلاق موقع إلكتروني والقبض على رئيس تحريره في مصر لأسباب إدارية,مصر: إغلاق موقع إلكتروني والقبض على رئيس تحريره بسبب أمور إدارية,agree
اختفاء خاشقجي: ضغوط على السعودية ورجال أعمال يُقاطعون مؤتمرها الاستثماري,جمال خاشقجي: أمس ما يحتاجه العالم العربي هو حرية التعبير,other
الصين تتحدى الولايات المتحدة بـإجراءات جديدة,أميركا تتحدى الصين في إجراءات جديدة,disagree
البشير: حلول جذرية لمشاكل الاقتصاد السوداني,البشير يبشر بحلول اقتصادية جديدة,agree
السعودية تسمح للهند باستخدام مجالها الجوي في رحلاتها إلى تل أبيب,السعودية تغلق مجالها الجوى أمام الهند فى رحلاتها إلى تل أبيب,disagree
خسائر كبيرة لـجنرال إلكتريك,جنرال إلكتريك تخسر الكثير,agree
